year,month,month_date,tmax,tmin,pet,monthly_precip,n_days,climatic_balance,spei
2012,9,2012-09-15,30.446666666666665,13.763333333333334,148.69138423407207,20.574,30,-128.11738423407206,0.20196674987440488
2012,10,2012-10-15,27.141935483870967,6.658064516129032,118.42735286494037,0,31,-118.42735286494037,-1.3919486201959175
2012,11,2012-11-15,21.143333333333334,-0.43666666666666665,75.80862183356673,2.54,30,-73.26862183356673,-1.1212120137844626
2012,12,2012-12-15,14.57741935483871,-3.829032258064516,52.50259075252123,11.937999999999999,31,-40.56459075252123,0.24424366288096216
2013,1,2013-01-15,11.229032258064516,-6.72258064516129,48.34532851482984,2.794,31,-45.55132851482984,0.2732104304822506
2013,2,2013-02-15,14.8,-6.289285714285715,65.76524293865431,0,28,-65.76524293865431,0.007122768399938132
2013,3,2013-03-15,21.538709677419355,-0.016129032258064568,119.07574205283262,0.254,31,-118.82174205283262,-0.44078899937181437
2013,4,2013-04-15,25.19,5.33,152.21977012001852,0,30,-152.21977012001852,-0.4519227118153266
2013,5,2013-05-15,28.796774193548387,10.07741935483871,188.39817220309612,0.508,31,-187.8901722030961,-0.08072231586438809
2013,6,2013-06-15,36.55,17.633333333333333,227.81838207828403,1.524,30,-226.29438207828403,-0.8599594571111134
2013,7,2013-07-15,32.81612903225806,18.912903225806453,192.27569619127928,118.36399999999999,31,-73.91169619127929,1.765726017507548
2013,8,2013-08-15,32.85806451612903,18.761290322580646,178.72462214246605,60.706,31,-118.01862214246604,0.6669741615778293
2013,9,2013-09-15,29.113333333333333,15.363333333333333,135.43921121221155,87.122,30,-48.31721121221155,1.701805374648376
2013,10,2013-10-15,24.68064516129032,4.148387096774194,110.0744441194886,8.889999999999999,31,-101.1844441194886,0.11504243589732745
2013,11,2013-11-15,17.74,0.22,64.97416133559574,2.2859999999999996,30,-62.68816133559574,0.14972157890512247
2013,12,2013-12-15,13.135483870967741,-4.567741935483871,49.067335270533285,5.08,31,-43.987335270533286,-0.01669885331349962
2014,1,2014-01-15,15.403225806451614,-6.758064516129032,59.2586621831829,0,31,-59.2586621831829,-1.480984384927662
2014,2,2014-02-15,19.235714285714284,-0.11071428571428563,78.1461479830877,0,28,-78.1461479830877,-1.533137120269197
2014,3,2014-03-15,20.761290322580646,2.174193548387097,113.30995867890282,7.619999999999999,31,-105.68995867890281,0.49031247949917717
2014,4,2014-04-15,24.573333333333334,4.97,148.999062006911,0.508,30,-148.491062006911,-0.04878680611802073
2014,5,2014-05-15,28.048387096774192,8.890322580645162,185.63979465577913,0,31,-185.63979465577913,0.05805096471079587
2014,6,2014-06-15,36.28,16.976666666666667,227.7597119554358,1.524,30,-226.2357119554358,-0.855505359139033
2014,7,2014-07-15,34.935483870967744,19.270967741935483,209.8814162312411,70.866,31,-139.0154162312411,0.27245131580651627
2014,8,2014-08-15,30.77741935483871,17.677419354838708,166.03896329127153,112.52199999999999,31,-53.51696329127154,1.5825808530017018
2014,9,2014-09-15,28.68,15.873333333333333,130.83583821670982,72.898,30,-57.93783821670982,1.6101122986835017
2014,10,2014-10-15,26.403225806451612,7.525806451612903,113.90008080362581,10.16,31,-103.74008080362582,-0.0299708820926833
2014,11,2014-11-15,17.973333333333333,0.2066666666666667,65.69870940026264,11.43,30,-54.268709400262644,0.7613378906105152
2014,12,2014-12-15,15.341935483870968,-1.867741935483871,53.75274018796027,5.3340000000000005,31,-48.41874018796027,-0.4075364024130512
2015,1,2015-01-15,12.093548387096774,-4.154838709677419,49.93088008355154,34.036,31,-15.894880083551541,1.4131917818373427
2015,2,2015-02-15,18.392857142857142,-0.44285714285714284,75.4522031350186,6.095999999999999,28,-69.3562031350186,-0.39165591778306735
2015,3,2015-03-15,20.83225806451613,2.8419354838709676,112.88291549087333,10.414,31,-102.46891549087333,0.6550068023319252
2015,4,2015-04-15,23.763333333333332,5.726666666666667,142.80420831608149,8.636000000000001,30,-134.1682083160815,1.431775476297969
2015,5,2015-05-15,27.34516129032258,8.474193548387097,181.4004860583296,25.654,31,-155.7464860583296,1.5082553969596295
2015,6,2015-06-15,34.38666666666667,17.313333333333333,210.447676869478,8.382,30,-202.06567686947798,0.5803544728814285
2015,7,2015-07-15,33.8741935483871,18.725806451612904,202.70279597791992,78.48599999999999,31,-124.21679597791993,0.6576712238107285
2015,8,2015-08-15,35.06774193548387,19.503225806451614,194.15393129687763,33.782,31,-160.37193129687762,-0.30605785025915977
2015,9,2015-09-15,31.583333333333332,16.036666666666665,149.6695438757579,17.526,30,-132.1435438757579,0.021149184725419736
2015,10,2015-10-15,25.10967741935484,10.19032258064516,103.25421576307212,45.974,31,-57.28021576307213,1.3463960571670577
2015,11,2015-11-15,18.123333333333335,1.04,65.60081661675986,12.953999999999999,30,-52.64681661675986,0.8532648570035668
